ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
272,Kusi-Asare,F,FUL,4.5,7.1,0.11,10,0.13,10,0.15,10,0.08,10,0.09,10
217,M.França,M,CRY,5,0,0.11,5,0.11,5,0.11,5,0.12,5,0.10,5
234,Patterson,D,EVE,4.5,0,0.11,5,0.11,5,0.11,5,0.10,5,0.11,5
218,Doucouré,M,CRY,5,0.1,0.11,5,0.11,5,0.11,5,0.11,5,0.10,5
451,A.Murphy,D,NEW,4,0.8,0.11,5,0.10,5,0.10,5,0.10,5,0.10,5
50,Burrowes,M,AVL,4.5,0.7,0.10,4,0.09,4,0.10,4,0.10,4,0.09,4
303,Kipré,D,IPS,4,0.6,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5
307,Johnson,D,IPS,4,0.1,0.08,5,0.07,5,0.07,5,0.07,5,0.07,5
409,Mukasa,M,MCI,4.5,0.1,0.08,2,0.06,2,0.06,2,0.05,2,0.05,2
205,Sosa,D,CRY,4.5,0,0.04,5,0.04,5,0.04,5,0.05,5,0.04,5
180,Woolfenden,D,COV,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
51,George Hemmings,M,AVL,4.5,0.4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
39,Nedeljkovic,D,AVL,4,0.8,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
273,Phillips,G,HUL,4,1.9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
479,Bindon,D,NFO,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
402,Rodrigo,M,MCI,6.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
199,Benitez,G,CRY,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
301,Palmer,G,IPS,4,5.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
93,Schuster,D,BRE,4.5,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
540,Masuaku,D,SUN,4,1.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
583,Chavarria,D,CHE,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
133,Watson,M,BHA,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
450,Livramento,D,NEW,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
220,Cardines,D,CRY,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
424,Amass,D,MUN,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
378,McConnell,M,LIV,4.5,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
92,Ji-soo,D,BRE,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
505,Spence,D,TOT,4.5,5.8,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
531,Ellborg,G,SUN,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
433,Ugarte,M,MUN,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
283,Jacob,D,HUL,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
494,Vicario,G,TOT,4.5,1.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
537,Seelt,D,SUN,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
158,Gittens,M,CHE,6,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
299,Burstow,F,HUL,4.5,1.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
586,Mendy,D,HUL,4,0.4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
386,Bettinelli,G,MCI,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
24,Nelson,M,ARS,5.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
413,Bayindir,G,MUN,4.5,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
320,Akpom,F,IPS,5,0.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
360,Bradley,D,LIV,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
530,Patterson,G,SUN,4,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
436,Collyer,M,MUN,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
