ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins
110,Rushworth,G,COV,4.5,1.2,2.46,90,1.22,90,1.97,90,2.30,90,1.88,90
93,Schuster,D,BRE,4.5,0.2,2.11,35,2.17,35,2.01,35,1.73,35,1.76,35
573,Sanchez,D,BOU,4.5,0.2,2.30,35,1.78,35,2.05,35,1.78,35,1.86,35
616,Bouaddi,M,MCI,5.5,0,1.96,35,2.04,35,1.87,35,2.05,35,1.81,35
96,Damsgaard,M,BRE,5.5,0.5,2.00,35,2.04,35,1.96,35,1.84,35,1.84,35
183,Rudoni,M,COV,5,0.1,2.11,35,1.63,35,1.96,35,2.06,35,1.91,35
506,Udogie,D,TOT,4.5,0.5,1.74,35,2.09,35,2.17,35,1.94,35,1.71,35
152,Palestra,D,CHE,5.5,2.3,1.47,26,1.62,35,2.28,35,1.98,35,2.28,35
147,Tosin,D,CHE,4.5,0.2,1.86,35,1.52,35,2.17,35,1.87,35,2.17,35
248,Beto,F,EVE,5.5,2.4,1.95,35,1.85,35,1.83,35,2.00,35,1.96,35
185,Sakamoto,M,COV,5,0.1,2.07,35,1.62,35,1.93,35,2.02,35,1.88,35
375,Nyoni,M,LIV,5,0,1.97,35,1.95,35,1.93,35,1.94,35,1.73,35
482,Hudson-Odoi,M,NFO,6,0.2,1.79,35,1.91,35,1.87,35,2.04,35,1.90,35
343,James,M,LEE,5,0.1,1.96,35,1.93,35,1.90,35,1.98,35,1.73,35
134,Oriola,M,BHA,4.5,0.3,1.81,35,1.99,35,1.94,35,1.75,35,1.96,35
27,G.Jesus,F,ARS,6,0.3,1.85,35,1.87,35,1.92,35,1.86,35,1.95,35
431,Amad,M,MUN,5.9,1,1.58,26,2.02,34,1.79,35,2.02,35,2.02,35
138,Kostoulas,F,BHA,5.5,0.2,1.83,35,1.96,35,1.92,35,1.77,35,1.93,35
328,Struijk,D,BHA,5,0.2,1.65,35,2.15,35,2.00,35,1.50,35,2.09,35
553,Isidor,F,SUN,5.5,0.9,1.99,35,1.93,35,1.78,35,1.70,35,1.97,35
608,Jebbison,F,BOU,5,0,1.99,35,1.81,35,1.88,35,1.84,35,1.83,35
347,Nmecha,F,LEE,5.5,0.5,1.92,35,1.90,35,1.87,35,1.93,35,1.72,35
460,Willock,M,NEW,5,0.2,1.78,35,1.89,35,1.90,35,1.89,35,1.86,35
324,Mehmeti,M,IPS,5,0,1.81,35,1.79,35,1.85,35,1.93,35,1.93,35
120,Svoboda,D,BHA,5,0.1,1.64,35,2.13,35,1.98,35,1.49,35,2.07,35
150,M.Sarr,D,CHE,4.5,0.1,1.80,35,1.47,35,2.10,35,1.82,35,2.10,35
430,Mount,M,MUN,5.5,0,1.55,26,1.98,34,1.77,35,1.99,35,1.99,35
215,Devenny,M,CRY,5,0,1.64,35,1.83,35,1.93,35,1.94,35,1.93,35
